trade_date,open,high,low,close,volume,dividend,in_sp500
1996-04-12,82.8190827393411,82.8190827393411,82.8190827393411,82.8190827393411,484517592.0,0.0,0
1996-04-15,84.11106043007483,84.11106043007483,84.11106043007483,84.11106043007483,73489305.60000001,0.0,0
1996-04-16,86.20542583478368,86.20542583478368,86.20542583478368,86.20542583478368,48928440.0,0.0,0
1996-04-17,86.09335878119846,86.09335878119846,86.09335878119846,86.09335878119846,35677260.0,0.0,0
1996-04-18,85.68011065904871,85.68011065904871,85.68011065904871,85.68011065904871,31464551.999999996,0.0,0
1996-04-19,84.73762944179917,84.73762944179917,84.73762944179917,84.73762944179917,14031273.600000001,0.0,0
1996-04-22,87.03401919967192,87.03401919967192,87.03401919967192,87.03401919967192,6967155.84,0.0,0
1996-04-23,85.64147489247716,85.64147489247716,85.64147489247716,85.64147489247716,4384240.32,0.0,0
1996-04-24,85.78706539979437,85.78706539979437,85.78706539979437,85.78706539979437,7841352.0,0.0,0
1996-04-25,86.74788053227208,86.74788053227208,86.74788053227208,86.74788053227208,19379820.24,0.0,0
1996-04-26,86.08859664022681,86.08859664022681,86.08859664022681,86.08859664022681,7111776.96,0.0,0
1996-04-29,88.01698120496789,88.01698120496789,88.01698120496789,88.01698120496789,5849047.68,0.0,0
1996-04-30,89.42525290424737,89.42525290424737,89.42525290424737,89.42525290424737,5397165.600000001,0.0,0
1996-05-01,86.84980562060504,86.84980562060504,86.84980562060504,86.84980562060504,5197875.36,0.0,0
1996-05-02,88.11781278266587,88.11781278266587,88.11781278266587,88.11781278266587,11331019.2,0.0,0
1996-05-03,86.23209158911682,86.23209158911682,86.23209158911682,86.23209158911682,6661647.36,0.0,0
1996-05-06,88.52586522538732,88.52586522538732,88.52586522538732,88.52586522538732,8084153.28,0.0,0
1996-05-07,90.60622305818393,90.60622305818393,90.60622305818393,90.60622305818393,4582114.08,0.0,0
1996-05-08,91.48510342184832,91.48510342184832,91.48510342184832,91.48510342184832,5173872.0,0.0,0
1996-05-09,92.70185529735892,92.70185529735892,92.70185529735892,92.70185529735892,4041768.0,0.0,0
1996-05-10,92.57207269994262,92.57207269994262,92.57207269994262,92.57207269994262,4714464.0,0.0,0
1996-05-13,94.09951189949167,94.09951189949167,94.09951189949167,94.09951189949167,2899228.8000000003,0.0,0
